Rider;1st;2nd;3rd;GC;POINTS;KOM;YOUTH
GIMONDI Felice;7;8;4;0;0;0;0
VAN LOOY Rik;7;7;4;0;0;0;0
VIRENQUE Richard;7;5;9;0;0;0;0
BAHAMONTES Federico;7;5;5;0;0;0;0
CANCELLARA Fabian;7;5;4;0;0;0;0
GUIMARD Cyrille;7;4;7;0;0;0;0
MAGNI Fiorenzo;7;4;2;0;0;0;0
GÉMINIANI Raphaël;7;2;3;0;0;0;0
SELS Ward;7;2;3;0;0;0;0
GOETHALS Félix;7;2;2;0;0;0;0
DANGUILLAUME Jean-Pierre;7;1;4;0;0;0;0
DEFILIPPIS Nino;7;1;1;0;0;0;0
KARSTENS Gerben;6;12;9;0;0;0;0
VERVAECKE Félicien;6;9;7;0;0;0;0
ROBIC Jean;6;6;5;0;0;0;0
SERCU Patrick;6;5;6;0;0;0;0
GROENEWEGEN Dylan;6;5;3;0;0;0;0
BELLENGER Romain;6;4;7;0;0;0;0
PETACCHI Alessandro;6;4;5;0;0;0;0
BASSO Marino;6;4;4;0;0;0;0
BOONEN Tom;6;4;2;0;0;0;0
VINOKOUROV Alexandre;6;3;7;0;0;0;0
BUYSSE Marcel;6;3;2;0;0;0;0
ALAPHILIPPE Julian;6;3;1;0;0;0;0
VAN GENEUGDEN Martin;6;3;0;0;0;0;0
KINT Marcel;6;2;4;0;0;0;0
THURAU Dietrich;6;2;3;0;0;0;0
DE BRUYNE Alfred;6;2;2;0;0;0;0
NIJDAM Jelle;6;2;0;0;0;0;0
NIBALI Vincenzo;6;1;5;0;0;0;0
REYBROUCK Guido;6;1;3;0;0;0;0
MARIE Thierry;6;1;2;0;0;0;0
KELLY Sean;5;21;17;0;0;0;0
ESCLASSAN Jacques;5;12;5;0;0;0;0
LEMOND Greg;5;9;7;0;0;0;0
VANDERAERDEN Eric;5;8;6;0;0;0;0
ROSSIUS Jean;5;8;4;0;0;0;0
GRACZYK Jean;5;7;6;0;0;0;0
BARTHÉLÉMY Honoré;5;6;2;0;0;0;0
STABLINSKI Jean;5;5;2;0;0;0;0
AGOSTINHO Joaquim;5;4;9;0;0;0;0
BONTEMPI Guido;5;4;1;0;0;0;0
MARTIN Tony;5;4;0;0;0;0;0
VAN SPRINGEL Herman;5;3;6;0;0;0;0
DORTIGNACQ Jean-Baptiste;5;3;5;0;0;0;0
