Rider;1st;2nd;3rd;4th;5th;GC;POINTS;KOM;YOUTH
WILDE Herbert;0;2;0;0;0;0;0;0;0
MENÉNDEZ Antonio;0;2;0;0;0;0;0;0;0
LEVAVASSEUR Christian;0;2;0;0;0;0;0;0;0
VONA Franco;0;2;0;0;0;0;0;0;0
RODRIGUES Orlando Sergio;0;2;0;0;0;0;0;0;0
VANDENBROUCKE Frank;0;2;0;0;0;0;0;0;0
JAN Xavier;0;2;0;0;0;0;0;0;0
JALABERT Nicolas;0;2;0;0;0;0;0;0;0
LATOUR Pierre;0;2;0;0;0;0;0;0;1
BERTIN Yvon;0;1;6;3;2;0;0;0;0
BELOKI Joseba;0;1;5;1;2;0;0;0;0
JULICH Bobby;0;1;4;5;2;0;0;0;0
FEILLU Romain;0;1;4;2;3;0;0;0;0
ELLI Alberto;0;1;4;2;0;0;0;0;0
VANDENBROUCKE Jean-Luc;0;1;3;5;1;0;0;0;0
STUYVEN Jasper;0;1;3;1;3;0;0;0;0
HERAS Roberto;0;1;3;1;1;0;0;0;0
VAN GENECHTEN Richard;0;1;3;1;0;0;0;0;0
LE BER Claude;0;1;3;0;3;0;0;0;0
WEILENMANN Gottfried;0;1;3;0;1;0;0;0;0
VAN DER VLEUTEN Jos;0;1;2;4;2;0;0;0;0
BOUHANNI Nacer;0;1;2;3;1;0;0;0;0
TRUEBA Vicente;0;1;2;2;3;0;0;1;0
AERENHOUTS Frans;0;1;2;2;0;0;0;0;0
FERRIGATO Andrea;0;1;2;2;0;0;0;0;0
NAZON Damien;0;1;2;1;3;0;0;0;0
LAZARIDÈS Apo;0;1;2;1;1;0;0;0;0
GEORGET Léon;0;1;2;1;0;0;0;0;0
FERNÁNDEZ Alberto;0;1;2;1;0;0;0;0;0
MARTÍNEZ Egoi;0;1;2;0;2;0;0;0;0
PELLIZOTTI Franco;0;1;2;0;2;0;0;1;0
GARDE Dominique;0;1;2;0;1;0;0;0;0
ZIMMERMANN Urs;0;1;2;0;1;0;0;0;0
MERCKX Axel;0;1;2;0;1;0;0;0;0
LOOTENS Julien;0;1;2;0;0;0;0;0;0
RUOZZI Gabriel;0;1;2;0;0;0;0;0;0
PARDOËN Pierre;0;1;2;0;0;0;0;0;0
FORNARA Pasquale;0;1;2;0;0;0;0;0;0
EPAUD Guy;0;1;2;0;0;0;0;0;0
ALDAG Rolf;0;1;2;0;0;0;0;0;0
KIRYIENKA Vasil;0;1;2;0;0;0;0;0;0
LOWIE Jules;0;1;1;5;4;0;0;0;0
VIOT Bernard;0;1;1;4;2;0;0;0;0
JORGENSON Matteo;0;1;1;4;1;0;0;0;0
COTTUR Giordano;0;1;1;3;1;0;0;0;0
PERAUD Jean-Christophe;0;1;1;3;0;0;0;0;0
CRUCHON Charles;0;1;1;2;2;0;0;0;0
VAN DER STOCKT Robert;0;1;1;2;0;0;0;0;0
BARONI Mario;0;1;1;2;0;0;0;0;0
PAMBIANCO Arnaldo;0;1;1;2;0;0;0;0;0
CUNEGO Damiano;0;1;1;2;0;0;0;0;1
LOMBARDI Giovanni;0;1;1;1;3;0;0;0;0
EVERAERT Pierre;0;1;1;1;2;0;0;0;0
PINEAU Jérôme;0;1;1;1;2;0;0;0;0
GIJSSELS Romain;0;1;1;1;1;0;0;0;0
TEANI Orlando;0;1;1;1;1;0;0;0;0
VANOVERBERGHE Cyriel;0;1;1;1;1;0;0;0;0
BOTELLA Salvador;0;1;1;1;1;0;0;0;0
ALBASINI Michael;0;1;1;1;1;0;0;0;0
IZAGIRRE Gorka;0;1;1;1;1;0;0;0;0
ALBINI Pierino;0;1;1;1;0;0;0;0;0
METZE Erich;0;1;1;1;0;0;0;0;0
BUCHONNET Roger;0;1;1;1;0;0;0;0;0
MIRANDO Joseph;0;1;1;1;0;0;0;0;0
ALOMAR Francisco;0;1;1;1;0;0;0;0;0
VLAYEN André;0;1;1;1;0;0;0;0;0
CLAES Jean-Baptiste;0;1;1;1;0;0;0;0;0
BOURREAU Bernard;0;1;1;1;0;0;0;0;0
LAURENT Thierry;0;1;1;1;0;0;0;0;0
TAFI Andrea;0;1;1;1;0;0;0;0;0
VANDE VELDE Christian;0;1;1;1;0;0;0;0;0
GESINK Robert;0;1;1;1;0;0;0;0;0
VAN SCHENDEL Albert;0;1;1;0;3;0;0;0;0
BARBOTIN Pierre;0;1;1;0;3;0;0;0;0
PETTERSSON Gösta;0;1;1;0;3;0;0;0;0
VELDSCHOLTEN Gerard;0;1;1;0;3;0;0;0;0
DE LAS CUEVAS Armand;0;1;1;0;3;0;0;0;0
RUMŠAS Raimondas;0;1;1;0;3;0;0;0;0
GEYER Ludwig;0;1;1;0;2;0;0;0;0
FAYOLLE Fernand;0;1;1;0;1;0;0;0;0
VITETTA Vincent;0;1;1;0;1;0;0;0;0
VANZELLA Flavio;0;1;1;0;1;0;0;0;0
HERVÉ Pascal;0;1;1;0;1;0;0;0;0
MADOUAS Laurent;0;1;1;0;1;0;0;0;0
JIMÉNEZ José María;0;1;1;0;1;0;0;0;0
BOTCHAROV Alexandre;0;1;1;0;1;0;0;0;0
LEFÈVRE Laurent;0;1;1;0;1;0;0;0;0
IGNATIEV Mikhail;0;1;1;0;1;0;0;0;0
BOL Cees;0;1;1;0;1;0;0;0;0
BRANGE Eugène;0;1;1;0;0;0;0;0;0
STEUX Alfred;0;1;1;0;0;0;0;0;0
CHASSOT René;0;1;1;0;0;0;0;0;0
HEMELSOET Jos;0;1;1;0;0;0;0;0;0
CARINI Bruno;0;1;1;0;0;0;0;0;0
PROUZET Hervé;0;1;1;0;0;0;0;0;0
CASTELIN Robert;0;1;1;0;0;0;0;0;0
LE BUHOTEL Félix;0;1;1;0;0;0;0;0;0
LACH Stéphane;0;1;1;0;0;0;0;0;0
VANCLOOSTER Noël;0;1;1;0;0;0;0;0;0
SCHIAVON Silvano;0;1;1;0;0;0;0;0;0
BEUGELS Eddy;0;1;1;0;0;0;0;0;0
CASTELLETTI Luigi;0;1;1;0;0;0;0;0;0
MOURIOUX Jacques;0;1;1;0;0;0;0;0;0
BAL Kees;0;1;1;0;0;0;0;0;0
SCHUITEN Roy;0;1;1;0;0;0;0;0;0
OSMONT Jacques;0;1;1;0;0;0;0;0;0
KIEFEL Ron;0;1;1;0;0;0;0;0;0
LECLERC Roland;0;1;1;0;0;0;0;0;0
PENSEC Ronan;0;1;1;0;0;0;0;0;0
TONKOV Pavel;0;1;1;0;0;0;0;0;0
GUALDI Mirko;0;1;1;0;0;0;0;0;0
SACCHI Fabio;0;1;1;0;0;0;0;0;0
DE GROOT Bram;0;1;1;0;0;0;0;0;0
LANDALUZE Iñigo;0;1;1;0;0;0;0;0;0
ELMIGER Martin;0;1;1;0;0;0;0;0;0
ROY Jérémy;0;1;1;0;0;0;0;0;0
TALANSKY Andrew;0;1;1;0;0;0;0;0;0
BURGAUDEAU Mathieu;0;1;1;0;0;0;0;0;0
ABRAHAMSEN Jonas;0;1;1;0;0;0;0;0;0
DE ROOIJ Theo;0;1;0;3;3;0;0;0;0
BERLAND Roland;0;1;0;3;0;0;0;0;0
PRONK Bert;0;1;0;3;0;0;0;0;0
SIBILLE Guy;0;1;0;3;0;0;0;0;0
VERDYCK August;0;1;0;2;3;0;0;0;0
TANNEVEAU Robert;0;1;0;2;3;0;0;0;0
HOORELBEKE Raymond;0;1;0;2;2;0;0;0;0
VAN DER BORGH Martin;0;1;0;2;2;0;0;0;0
LÓPEZ RODRÍGUEZ José Manuel;0;1;0;2;2;0;0;0;0
BALMAMION Franco;0;1;0;2;2;0;0;0;0
GIGUET Paul;0;1;0;2;1;0;0;0;0
OVION Régis;0;1;0;2;1;0;0;0;0
BOSSIS Jacques;0;1;0;2;1;0;0;0;0
VERLINDEN Gery;0;1;0;2;1;0;0;0;0
ROCHE Nicolas;0;1;0;2;1;0;0;0;0
VAN GARDEREN Tejay;0;1;0;2;1;0;0;0;1
AUGEREAU Fernand;0;1;0;2;0;0;0;0;0
REDOLFI Attilio;0;1;0;2;0;0;0;0;0
BOCKLANT Willy;0;1;0;2;0;0;0;0;0
DOLMAN Evert;0;1;0;2;0;0;0;0;0
DE CAUWER José;0;1;0;2;0;0;0;0;0
DEJONCKHEERE Noël;0;1;0;2;0;0;0;0;0
CHAVANEL Sébastien;0;1;0;2;0;0;0;0;0
BENOOT Tiesj;0;1;0;2;0;0;0;0;0
LEMAIRE Georges;0;1;0;1;2;0;0;0;0
LAMBRICHS Jan;0;1;0;1;2;0;0;0;0
DESBATS Robert;0;1;0;1;2;0;0;0;0
DECABOOTER Arthur;0;1;0;1;2;0;0;0;0
MEINTJES Louis;0;1;0;1;2;0;0;0;0
GERBI Giovanni;0;1;0;1;1;0;0;0;0
ROSSIGNOLI Giovanni;0;1;0;1;1;0;0;0;0
PASQUINI Bruno;0;1;0;1;1;0;0;0;0
CROCI-TORTI Emilio;0;1;0;1;1;0;0;0;0
KERSTEN Jaap;0;1;0;1;1;0;0;0;0
ANNAERT Jean-Claude;0;1;0;1;1;0;0;0;0
VERMEULIN Michel;0;1;0;1;1;0;0;0;0
DE HAAN Jo;0;1;0;1;1;0;0;0;0
MEJIA Alvaro;0;1;0;1;1;0;0;0;1
HENN Christian;0;1;0;1;1;0;0;0;0
ROBIN Jean-Cyril;0;1;0;1;1;0;0;0;0
MORENI Cristian;0;1;0;1;1;0;0;0;0
EFIMKIN Vladimir;0;1;0;1;1;0;0;0;0
PAUWELS Serge;0;1;0;1;1;0;0;0;0
SKUJIŅŠ Toms;0;1;0;1;1;0;0;0;0
DACQUAY Jean;0;1;0;1;0;0;0;0;0
DEN HARTOG Arie;0;1;0;1;0;0;0;0;0
FERNÁNDEZ Juan;0;1;0;1;0;0;0;0;0
VAN HOUWELINGEN Jan;0;1;0;1;0;0;0;0;0
DERNIES Michel;0;1;0;1;0;0;0;0;0
WOJTINEK Bruno;0;1;0;1;0;0;0;0;0
WEGMULLER Thomas;0;1;0;1;0;0;0;0;0
AMPLER Uwe;0;1;0;1;0;0;0;0;0
CALCATERRA Giuseppe;0;1;0;1;0;0;0;0;0
FAGNINI Gian Matteo;0;1;0;1;0;0;0;0;0
NELISSEN Danny;0;1;0;1;0;0;0;0;0
BELLI Wladimir;0;1;0;1;0;0;0;0;0
ZANDIO Xabier;0;1;0;1;0;0;0;0;0
COBO Juan José;0;1;0;1;0;0;0;0;0
FOTHEN Markus;0;1;0;1;0;0;0;0;0
DUQUE Leonardo Fabio;0;1;0;1;0;0;0;0;0
MADOUAS Valentin;0;1;0;1;0;0;0;0;0
CATTANEO Mattia;0;1;0;1;0;0;0;0;0
DÉOLET Aimé;0;1;0;0;2;0;0;0;0
MOLINAR Edoardo;0;1;0;0;2;0;0;0;0
FONTENAY Jean;0;1;0;0;2;0;0;0;0
DAMEN Piet;0;1;0;0;2;0;0;0;0
GABICA Francisco;0;1;0;0;2;0;0;0;0
STEEVENS Harry;0;1;0;0;2;0;0;0;0
BAGOT Jean-Claude;0;1;0;0;2;0;0;0;0
LILHOLT Søren;0;1;0;0;2;0;0;0;0
BAFFI Adriano;0;1;0;0;2;0;0;0;0
DA CRUZ Carlos;0;1;0;0;2;0;0;0;0
BETTIOL Alberto;0;1;0;0;2;0;0;0;0
PAUTRAT Philippe;0;1;0;0;1;0;0;0;0
LIGNON Henri;0;1;0;0;1;0;0;0;0
DEMAN Paul;0;1;0;0;1;0;0;0;0
ZIMMERMANN Robert;0;1;0;0;1;0;0;0;0
MOLLO Enrico;0;1;0;0;1;0;0;0;0
DE KORVER André;0;1;0;0;1;0;0;0;0
CHUPIN Roger;0;1;0;0;1;0;0;0;0
BLUSSON Serge;0;1;0;0;1;0;0;0;0
BUSTO Emmanuel;0;1;0;0;1;0;0;0;0
VAN DONGEN Leo;0;1;0;0;1;0;0;0;0
MOMEÑE José Antonio;0;1;0;0;1;0;0;0;0
ARANZABAL Jesús;0;1;0;0;1;0;0;0;0
ZUBERO Luis;0;1;0;0;1;0;0;0;0
PETTERSSON Tomas;0;1;0;0;1;0;0;0;0
MORTENSEN Leif;0;1;0;0;1;0;0;0;0
DIDIER Lucien;0;1;0;0;1;0;0;0;0
GREZET Jean-Marie;0;1;0;0;1;0;0;0;0
PINO Álvaro;0;1;0;0;1;0;0;0;0
LECLERCQ Jean-Claude;0;1;0;0;1;0;0;0;0
AMADIO Roberto;0;1;0;0;1;0;0;0;0
VERMOTE Michel;0;1;0;0;1;0;0;0;0
CARITOUX Éric;0;1;0;0;1;0;0;0;0
FARESIN Gianni;0;1;0;0;1;0;0;0;0
DEN BAKKER Maarten;0;1;0;0;1;0;0;0;0
MEIER Roland;0;1;0;0;1;0;0;0;0
WROLICH Peter;0;1;0;0;1;0;0;0;0
ARNDT Nikias;0;1;0;0;1;0;0;0;0
HERRADA Jesús;0;1;0;0;1;0;0;0;0
VAN GILS Maxim;0;1;0;0;1;0;0;0;0
PAGIE Émile;0;1;0;0;0;0;0;0;0
PASQUIER Gustave;0;1;0;0;0;0;0;0;0
EVERAERTS Pierre;0;1;0;0;0;0;0;0;0
PETITJEAN Louis;0;1;0;0;0;0;0;0;0
MARTINET Charles;0;1;0;0;0;0;0;0;0
CRIPPA Alfonso;0;1;0;0;0;0;0;0;0
NAERT Jean;0;1;0;0;0;0;0;0;0
CATALANI Alessandro;0;1;0;0;0;0;0;0;0
BUTTAFOCCHI Adrien;0;1;0;0;0;0;0;0;0
BARRAL Luigi;0;1;0;0;0;0;0;0;0
GRANIER Honoré;0;1;0;0;0;0;0;0;0
HEIMANN Theo;0;1;0;0;0;0;0;0;0
GODARD Robert;0;1;0;0;0;0;0;0;0
HELLEMONS Janus;0;1;0;0;0;0;0;0;0
BAILLEUX Roger;0;1;0;0;0;0;0;0;0
MAHÉ André;0;1;0;0;0;0;0;0;0
CAFFI Urbain;0;1;0;0;0;0;0;0;0
MARCELAK César;0;1;0;0;0;0;0;0;0
BLANC Jean;0;1;0;0;0;0;0;0;0
ZÉLASCO Marcel;0;1;0;0;0;0;0;0;0
VERSCHUEREN Marcel;0;1;0;0;0;0;0;0;0
MICHEL Marcel;0;1;0;0;0;0;0;0;0
TONELLO Alfred;0;1;0;0;0;0;0;0;0
VOORTING Adri;0;1;0;0;0;0;0;0;0
VAN DER PLUYM Leo;0;1;0;0;0;0;0;0;0
FRIEDRICH Lothar;0;1;0;0;0;0;0;0;0
CATALANO Antonio;0;1;0;0;0;0;0;0;0
BOUVET Albert;0;1;0;0;0;0;0;0;0
ONGENAE Marcel;0;1;0;0;0;0;0;0;0
FERRARI Danilo;0;1;0;0;0;0;0;0;0
MATTIO Claude;0;1;0;0;0;0;0;0;0
FONTONA Renzo;0;1;0;0;0;0;0;0;0
BABINI Battista;0;1;0;0;0;0;0;0;0
DESMET Gustaaf;0;1;0;0;0;0;0;0;0
BOONS Jos;0;1;0;0;0;0;0;0;0
BÖLKE Winfried;0;1;0;0;0;0;0;0;0
RABAUTE Henri;0;1;0;0;0;0;0;0;0
TOSELLO Guerrino;0;1;0;0;0;0;0;0;0
BENFATTO Attilio;0;1;0;0;0;0;0;0;0
MORI Franco;0;1;0;0;0;0;0;0;0
GÓMEZ José;0;1;0;0;0;0;0;0;0
VANMARCKE Ronny;0;1;0;0;0;0;0;0;0
DE GEEST Willy;0;1;0;0;0;0;0;0;0
POGGIALI Roberto;0;1;0;0;0;0;0;0;0
CAVALCANTI Giovanni;0;1;0;0;0;0;0;0;0
RITTER Ole;0;1;0;0;0;0;0;0;0
LODER Erich;0;1;0;0;0;0;0;0;0
SANTONI Glauco;0;1;0;0;0;0;0;0;0
POZO Sebastian;0;1;0;0;0;0;0;0;0
PATRITTI Alain;0;1;0;0;0;0;0;0;0
BORGUET Joseph;0;1;0;0;0;0;0;0;0
CLAES Ronny;0;1;0;0;0;0;0;0;0
LEJARRETA Ismael;0;1;0;0;0;0;0;0;0
RODRIGUEZ Jean-François;0;1;0;0;0;0;0;0;0
JOURDAN Christian;0;1;0;0;0;0;0;0;0
LINARD Hubert;0;1;0;0;0;0;0;0;0
RAULT Jean-François;0;1;0;0;0;0;0;0;0
DIERICKX Marc;0;1;0;0;0;0;0;0;0
HANEGRAAF Jacques;0;1;0;0;0;0;0;0;0
BOEVE Henk;0;1;0;0;0;0;0;0;0
PAGNIN Roberto;0;1;0;0;0;0;0;0;0
CONTINI Silvano;0;1;0;0;0;0;0;0;0
PIASECKI Lech;0;1;0;0;0;0;0;0;0
BOTTOIA Giovanni Paolo;0;1;0;0;0;0;0;0;0
VISENTINI Roberto;0;1;0;0;0;0;0;0;0
CASADO Philippe;0;1;0;0;0;0;0;0;0
SCHURER Eddy;0;1;0;0;0;0;0;0;0
CORNILLET Bruno;0;1;0;0;0;0;0;0;0
EMONDS Nico;0;1;0;0;0;0;0;0;0
BOURGUIGNON Thierry;0;1;0;0;0;0;0;0;0
MOREELS Sammie;0;1;0;0;0;0;0;0;0
CAMARGO Angel Yesid;0;1;0;0;0;0;0;0;0
FERNÁNDEZ GINÉS Manuel;0;1;0;0;0;0;0;0;0
FINCO Carlo;0;1;0;0;0;0;0;0;0
CAMENZIND Oscar;0;1;0;0;0;0;0;0;0
CONTRERAS Carlos Alberto;0;1;0;0;0;0;0;0;0
ZBERG Markus;0;1;0;0;0;0;0;0;0
VERHEYEN Geert;0;1;0;0;0;0;0;0;0
PRETOT Arnaud;0;1;0;0;0;0;0;0;0
PINOTTI Marco;0;1;0;0;0;0;0;0;0
SANDSTØD Michael;0;1;0;0;0;0;0;0;0
BOSSONI Paolo;0;1;0;0;0;0;0;0;0
FLORES Iker;0;1;0;0;0;0;0;0;0
GÁLVEZ Isaac;0;1;0;0;0;0;0;0;0
CARLSTRÖM Kjell;0;1;0;0;0;0;0;0;0
FRISCHKORN William;0;1;0;0;0;0;0;0;0
BARREDO Carlos;0;1;0;0;0;0;0;0;0
KERN Christophe;0;1;0;0;0;0;0;0;0
TXURRUKA Amets;0;1;0;0;0;0;0;0;0
BOUET Maxime;0;1;0;0;0;0;0;0;0
VALLS Rafael;0;1;0;0;0;0;0;0;0
SCARPONI Michele;0;1;0;0;0;0;0;0;0
SØRENSEN Chris Anker;0;1;0;0;0;0;0;0;0
VISCONTI Giovanni;0;1;0;0;0;0;0;0;0
ULISSI Diego;0;1;0;0;0;0;0;0;0
ATAPUMA Darwin;0;1;0;0;0;0;0;0;0
ELISSONDE Kenny;0;1;0;0;0;0;0;0;0
ERVITI Imanol;0;1;0;0;0;0;0;0;0
MØRKØV Michael;0;1;0;0;0;0;0;0;0
VAN DER HOORN Taco;0;1;0;0;0;0;0;0;0
CASTROVIEJO Jonathan;0;1;0;0;0;0;0;0;0
SCHULTZ Nick;0;1;0;0;0;0;0;0;0
WRIGHT Fred;0;1;0;0;0;0;0;0;0
ZIMMERMANN Georg;0;1;0;0;0;0;0;0;0
EENKHOORN Pascal;0;1;0;0;0;0;0;0;0
VAN DEN BROEK Frank;0;1;0;0;0;0;0;0;0
VERCHER Mattéo;0;1;0;0;0;0;0;0;0
ROJAS José Joaquín;0;0;5;4;5;0;0;0;0
MARTINELLO Silvio;0;0;4;2;2;0;0;0;0
GANNA Luigi;0;0;4;1;1;0;0;0;0
VAN CALSTER Guido;0;0;3;4;5;0;0;0;0
JUNKERMANN Hans;0;0;3;4;3;0;0;0;0
GALDÓS Francisco;0;0;3;2;3;0;0;0;0
ZUBELDIA Haimar;0;0;3;2;1;0;0;0;0
BERTOCCO Aldo;0;0;3;2;0;0;0;0;0
ACKERMANN Pascal;0;0;3;1;0;0;0;0;0
LELLI Massimiliano;0;0;3;0;2;0;0;0;0
ANTENEN Georges;0;0;3;0;1;0;0;0;0
CRIQUIELION Claude;0;0;3;0;1;0;0;0;0
THIERBACH Oskar;0;0;2;5;2;0;0;0;0
COSSON Victor;0;0;2;4;1;0;0;0;0
LANDA Mikel;0;0;2;3;3;0;0;0;0
BERNARDONI Oreste;0;0;2;3;1;0;0;0;0
RODRIGUEZ Fred;0;0;2;3;0;0;0;0;0
DISSEAUX Albertin;0;0;2;2;2;0;0;0;0
VAN SCHIL Victor;0;0;2;2;1;0;0;0;0
PÉRIN Michel;0;0;2;2;1;0;0;0;0
HESJEDAL Ryder;0;0;2;2;0;0;0;0;0
ASTRUA Giancarlo;0;0;2;1;3;0;0;0;0
BEAUGENDRE François;0;0;2;1;2;0;0;0;0
MATHIEU Florent;0;0;2;1;2;0;0;0;0
DE LIE Arnaud;0;0;2;1;2;0;0;0;0
ENGELS Jean;0;0;2;1;1;0;0;0;0
BRUGNAMI Carlo;0;0;2;1;1;0;0;0;0
MAZZOLENI Eddy;0;0;2;1;1;0;0;0;0
NAVARRO Daniel;0;0;2;1;1;0;0;0;0
NORMAND Joseph;0;0;2;1;0;0;0;0;0
VLAEMYNCK Lucien;0;0;2;1;0;0;0;0;0
ARNAUD Dominique;0;0;2;1;0;0;0;0;0
WILCHES Pablo Emilio;0;0;2;1;0;0;0;0;0
HOLM SØRENSEN Brian;0;0;2;1;0;0;0;0;0
MARTIN Guillaume;0;0;2;1;0;0;0;0;0
PANCERA Giuseppe;0;0;2;0;2;0;0;0;0
GARZELLI Stefano;0;0;2;0;2;0;0;0;0
CAZZULANI Giovanni;0;0;2;0;1;0;0;0;0
MENDES Fernando dos Reis Dias;0;0;2;0;1;0;0;0;0
CORREDOR Edgar;0;0;2;0;1;0;0;0;0
COLAGÈ Stefano;0;0;2;0;1;0;0;0;0
ENGLEBERT Raymond;0;0;2;0;0;0;0;0;0
SEGHEZZI Vittorio;0;0;2;0;0;0;0;0;0
VERHAEGEN Auguste;0;0;2;0;0;0;0;0;0
SANTY Guy;0;0;2;0;0;0;0;0;0
DUCREUX Daniel;0;0;2;0;0;0;0;0;0
OLIVA Andrés;0;0;2;0;0;0;0;0;0
BRAUN Gregor;0;0;2;0;0;0;0;0;0
PEIPER Allan;0;0;2;0;0;0;0;0;0
TOLHOEK Patrick;0;0;2;0;0;0;0;0;0
UNZAGA Jon;0;0;2;0;0;0;0;0;0
VERONA Carlos;0;0;2;0;0;0;0;0;0
MANCEBO Francisco;0;0;1;5;2;0;0;0;1
MONTI Bruno;0;0;1;4;1;0;0;0;0
HONDO Danilo;0;0;1;3;0;0;0;0;0
BUCHMANN Emanuel;0;0;1;3;0;0;0;0;0
ADORNI Vittorio;0;0;1;2;4;0;0;0;0
VELITS Peter;0;0;1;2;4;0;0;0;0
CAPIOT Johan;0;0;1;2;3;0;0;0;0
RINGEVAL Augustin;0;0;1;2;2;0;0;0;0
FLEURY Georges;0;0;1;2;1;0;0;0;0
COUVREUR Hilaire;0;0;1;2;1;0;0;0;0
AJA Gonzalo;0;0;1;2;1;0;0;0;0
PAWLISIAK Alexandre;0;0;1;2;0;0;0;0;0
DE MULDER Marcel;0;0;1;2;0;0;0;0;0
SCHLECK Johny;0;0;1;2;0;0;0;0;0
MOREAU Francis;0;0;1;2;0;0;0;0;0
FONDRIEST Maurizio;0;0;1;2;0;0;0;0;0
ROUX Laurent;0;0;1;2;0;0;0;0;0
EISEL Bernhard;0;0;1;2;0;0;0;0;0
HOUBRECHTS Antoon;0;0;1;1;4;0;0;0;0
GAUDU David;0;0;1;1;3;0;0;0;0
BLAISE André;0;0;1;1;2;0;0;0;0
DHERS Eugène;0;0;1;1;2;0;0;0;0
GUYOT Bernard;0;0;1;1;2;0;0;0;0
CHASSANG Jean;0;0;1;1;2;0;0;0;0
MCKENZIE Eric;0;0;1;1;2;0;0;0;0
VAN BRABANT Benny;0;0;1;1;2;0;0;0;0
VAN EYNDE Wim;0;0;1;1;2;0;0;0;0
ELLIOTT Malcolm;0;0;1;1;2;0;0;0;0
PICCOLI Mariano;0;0;1;1;2;0;0;0;0
VAN POPPEL Danny;0;0;1;1;2;0;0;0;0
MAS Enric;0;0;1;1;2;0;0;0;0
PARMENTIER Léon;0;0;1;1;1;0;0;0;0
VAN VIERST André;0;0;1;1;1;0;0;0;0
BUSE Hermann;0;0;1;1;1;0;0;0;0
BULA Alfred;0;0;1;1;1;0;0;0;0
BONNAVENTURE Robert;0;0;1;1;1;0;0;0;0
CARREA Andrea;0;0;1;1;1;0;0;0;0
CLOSE Alex;0;0;1;1;1;0;0;0;0
ROHRBACH Marcel;0;0;1;1;1;0;0;0;0
DELBERGHE Edouard;0;0;1;1;1;0;0;0;0
PASSUELLO Adriano;0;0;1;1;1;0;0;0;0
NASSEN Pieter;0;0;1;1;1;0;0;0;0
ZANDEGÙ Dino;0;0;1;1;1;0;0;0;0
JANSSENS Ward;0;0;1;1;1;0;0;0;0
ROUXEL Charly;0;0;1;1;1;0;0;0;0
BONNET Patrick;0;0;1;1;1;0;0;0;0
RAAB Uwe;0;0;1;1;1;0;0;0;0
LANG Sebastian;0;0;1;1;1;0;0;0;0
HAEDO Juan José;0;0;1;1;1;0;0;0;0
DEVOS Léon;0;0;1;1;0;0;0;0;0
DELATHOUWER Edmond;0;0;1;1;0;0;0;0;0
BARATIN Pierre;0;0;1;1;0;0;0;0;0
DE SANTI Guido;0;0;1;1;0;0;0;0;0
LAMBERTINI Attilio;0;0;1;1;0;0;0;0;0
ROKS Thijs;0;0;1;1;0;0;0;0;0
LE GUILLY Jean;0;0;1;1;0;0;0;0;0
GIUDICI Pietro;0;0;1;1;0;0;0;0;0
COLETTO Agostino;0;0;1;1;0;0;0;0;0
BARBOSA Antonio da Silva Alves;0;0;1;1;0;0;0;0;0
BOLZAN Aldo;0;0;1;1;0;0;0;0;0
FALASCHI Roberto;0;0;1;1;0;0;0;0;0
WASKO Joseph;0;0;1;1;0;0;0;0;0
MONTY Willy;0;0;1;1;0;0;0;0;0
GARCÍA Ginés;0;0;1;1;0;0;0;0;0
BRAND Karl;0;0;1;1;0;0;0;0;0
MINTJENS Frans;0;0;1;1;0;0;0;0;0
JIMÉNEZ Nemesio;0;0;1;1;0;0;0;0;0
JIMÉNEZ José Patrocinio;0;0;1;1;0;0;0;0;0
HAGHEDOOREN Paul;0;0;1;1;0;0;0;0;0
GASTÓN Iñaki;0;0;1;1;0;0;0;0;0
MULLER Jörg;0;0;1;1;0;0;0;0;0
GUSMEROLI Roberto;0;0;1;1;0;0;0;0;0
SCHUR Jan;0;0;1;1;0;0;0;0;0
ZBERG Beat;0;0;1;1;0;0;0;0;0
VOGELS Henk;0;0;1;1;0;0;0;0;0
FOFONOV Dmitriy;0;0;1;1;0;0;0;0;0
VEELERS Tom;0;0;1;1;0;0;0;0;0
REICHENBACH Sébastien;0;0;1;1;0;0;0;0;0
NIZZOLO Giacomo;0;0;1;1;0;0;0;0;0
PACHER Quentin;0;0;1;1;0;0;0;0;0
LAMPRE Maurice;0;0;1;0;5;0;0;0;0
SPIESSENS Alfons;0;0;1;0;3;0;0;0;0
VAN KATWIJK Piet;0;0;1;0;3;0;0;0;0
BODROGI László;0;0;1;0;3;0;0;0;0
NEMPON Jules;0;0;1;0;2;0;0;0;0
DUPONT Albert;0;0;1;0;2;0;0;0;0
STANDAERT Alfons;0;0;1;0;2;0;0;0;0
DUPONT Marcel;0;0;1;0;2;0;0;0;0
PESCHEUX Jean-François;0;0;1;0;2;0;0;0;0
FRIOU Patrick;0;0;1;0;2;0;0;0;0
DEVENYNS Dries;0;0;1;0;2;0;0;0;0
MULLER Rodolfo;0;0;1;0;1;0;0;0;0
PIOT Kléber;0;0;1;0;1;0;0;0;0
DE MUER Maurice;0;0;1;0;1;0;0;0;0
NÉRI Paul;0;0;1;0;1;0;0;0;0
PETERS Gerard;0;0;1;0;1;0;0;0;0
KEBAÏLI Ahmed;0;0;1;0;1;0;0;0;0
BOBET Jean;0;0;1;0;1;0;0;0;0
BERTOLO Maurice;0;0;1;0;1;0;0;0;0
MARTÍN Esteban;0;0;1;0;1;0;0;0;0
LELANGUE Robert;0;0;1;0;1;0;0;0;0
