Rider;1st;2nd;3rd;4th;5th;GC;POINTS;KOM;YOUTH
STABLINSKI Jean;5;5;2;1;2;0;0;0;0
AGOSTINHO Joaquim;5;4;9;7;7;0;0;0;0
POTTIER René;5;4;2;3;1;1;0;0;0
BONTEMPI Guido;5;4;1;5;2;0;0;0;0
MARTIN Tony;5;4;0;3;0;0;0;0;0
VAN SPRINGEL Herman;5;3;6;4;6;0;1;0;0
DORTIGNACQ Jean-Baptiste;5;3;5;0;2;0;0;0;0
BUYSSE Lucien;5;3;4;5;2;1;0;0;0
EWAN Caleb;5;3;4;0;0;0;0;0;0
DUBOC Paul;5;3;2;7;2;0;0;0;0
JIMÉNEZ Julio;5;3;2;1;0;0;0;3;0
DEWAELE Maurice;5;2;6;8;9;1;0;0;0
BAFFI Pierino;5;2;2;4;4;0;0;0;0
KOBLET Hugo;5;2;2;3;1;1;0;0;0
MARTIN Hector;5;1;2;4;3;0;0;0;0
HOSTE Frank;5;1;1;1;7;0;1;0;0
LEMAN Eric;5;0;1;4;0;0;0;0;0
TEIRLINCK Willy;5;0;1;1;3;0;0;0;0
RIVIÈRE Roger;5;0;0;2;0;0;0;0;0
VINGEGAARD Jonas;4;10;4;3;2;2;0;1;0
KRISTOFF Alexander;4;9;8;10;6;0;0;0;0
VAN LINDEN Rik;4;9;3;6;2;0;1;0;0
DELGADO Pedro;4;8;10;6;1;1;0;0;0
BAUVIN Gilbert;4;7;6;7;4;0;0;0;0
NENCINI Gastone;4;5;7;3;3;1;0;1;0
FREIRE Óscar;4;5;6;3;6;0;1;0;0
MATTHEWS Michael;4;5;2;4;4;0;1;0;0
MAES Romain;4;5;1;3;3;1;0;0;0
JALABERT Laurent;4;4;6;8;3;0;2;2;0
BENOÎT Adelin;4;4;5;1;3;0;0;0;0
FORESTIER Jean;4;4;4;3;3;0;1;0;0
KIRSIPUU Jaan;4;4;4;0;3;0;0;0;0
RIIS Bjarne;4;4;3;3;5;1;0;0;0
WAGTMANS Wout;4;4;1;4;3;0;0;0;0
VAN SLEMBROUCK Gustave;4;4;1;1;1;0;0;0;0
BUGNO Gianni;4;3;7;1;2;0;0;0;0
BREUKINK Erik;4;3;2;2;1;0;0;0;1
KONYSHEV Dmitry;4;3;1;0;1;0;0;0;0
PINGEON Roger;4;2;6;4;7;1;0;0;0
REBRY Gaston;4;2;5;4;4;0;0;0;0
BLIJLEVENS Jeroen;4;2;5;1;2;0;0;0;0
CRUPELANDT Charles;4;2;3;2;1;0;0;0;0
WILLEMS Daniel;4;2;3;1;2;0;0;0;0
TEISSEIRE Lucien;4;2;2;1;6;0;0;0;0
VOECKLER Thomas;4;2;1;2;3;0;0;1;0
BITOSSI Franco;4;2;1;2;2;0;1;0;0
PRIVAT René;4;2;1;0;0;0;0;0;0
CAZALA Robert;4;2;0;2;1;0;0;0;0
BARDET Romain;4;1;6;3;5;0;0;1;0
MILLAR David;4;1;2;3;4;0;0;0;0
SÁNCHEZ Luis León;4;1;2;2;0;0;0;0;0
JACQUINOT Robert;4;1;1;2;0;0;0;0;0
DAEMS Emile;4;1;1;1;2;0;0;0;0
VAN STEENBERGEN Rik;4;1;1;1;0;0;0;0;0
CHOZAS Eduardo;4;1;1;0;0;0;0;0;0
RASMUSSEN Michael;4;1;1;0;0;0;0;2;0
GARIN Maurice;4;1;0;4;3;2;0;0;0
FÉDRIGO Pierrick;4;0;1;1;0;0;0;0;0
DEKKER Erik;4;0;1;0;2;0;0;0;0
PAUWELS Eddy;4;0;1;0;1;0;0;0;0
ROSSEEL André;4;0;0;2;1;0;0;0;0
MATTHIJS Rudy;4;0;0;0;0;0;0;0;0
OCKERS Stan;3;16;18;11;13;0;2;0;0
SELLIER Félix;3;9;9;3;1;0;0;0;0
BOASSON HAGEN Edvald;3;7;9;5;8;0;0;0;0
BONDUEL Frans;3;7;8;6;3;0;0;0;0
CONTADOR Alberto;3;7;4;2;2;3;0;0;1
LUCOTTI Luigi Natale;3;7;1;2;2;0;0;0;0
HERRERA Luis Alberto;3;7;0;4;2;0;0;2;0
ROCHE Stephen;3;6;6;3;5;1;0;0;0
DEFRAEYE Odiel;3;6;4;4;1;1;0;0;0
WRIGHT Michael;3;6;3;0;1;0;0;0;0
PINOT Thibaut;3;6;1;6;3;0;0;0;1
LUDWIG Olaf;3;5;7;5;2;0;1;0;0
PEETERS Ludo;3;5;5;3;0;0;0;0;0
FRÉCHAUT Jean;3;5;4;5;2;0;0;0;0
ROMINGER Tony;3;5;4;4;2;0;0;1;0
QUINTANA Nairo;3;5;1;2;2;0;0;1;2
VERHAEGEN Pé;3;5;1;1;1;0;0;0;0
DUMOULIN Tom;3;5;0;3;1;0;0;0;0
VALVERDE Alejandro;3;4;8;5;4;0;0;0;0
CHRISTOPHE Eugène;3;4;6;7;8;0;0;0;0
POLLENTIER Michel;3;4;6;2;5;0;0;0;0
DEMUYSERE Joseph;3;3;7;3;6;0;0;0;0
SVORADA Ján;3;3;5;6;2;0;0;0;0
ROGLIČ Primož;3;3;4;5;1;0;0;0;0
THOMAS Geraint;3;3;2;5;4;1;0;0;0
KUIPER Hennie;3;3;1;6;0;0;0;0;0
IMPANIS Raymond;3;3;1;4;3;0;0;0;0
MINALI Nicola;3;3;0;5;1;0;0;0;0
SCIEUR Léon;3;2;10;5;8;1;0;0;0
VAN EST Wim;3;2;4;7;9;0;0;0;0
MOTTET Charly;3;2;4;1;4;0;0;0;0
MAJKA Rafał;3;2;4;0;2;0;0;2;0
CHIAPPUCCI Claudio;3;2;3;3;2;0;0;2;0
LAUREDI Nello;3;2;3;2;7;0;0;0;0
BULLA Max;3;2;3;2;3;0;0;0;0
RODRÍGUEZ Joaquim;3;2;3;2;3;0;0;0;0
BRUNI Dino;3;2;3;1;2;0;0;0;0
BERNARD Jean-François;3;2;2;3;1;0;0;0;0
CAMUSSO Francesco;3;2;2;1;2;0;0;0;0
MOINEAU Julien;3;2;1;1;2;0;0;0;0
GIRMAY Biniam;3;2;1;1;0;0;1;0;0
LUBBERDING Henk;3;2;1;0;5;0;0;0;1
BOTERO Santiago;3;2;0;2;1;0;0;1;0
VILLEMIANE Pierre-Raymond;3;2;0;2;0;0;0;0;0
MILLAR Robert;3;2;0;1;2;0;0;1;0
DOSSCHE Aimé;3;1;4;2;4;0;0;0;0
WAGTMANS Rini;3;1;4;2;4;0;0;0;0
SCHLECK Andy;3;1;4;1;2;0;0;0;3
DIEDERICH Bim;3;1;4;0;2;0;0;0;0
VAN DER VELDE Johan;3;1;2;3;2;0;0;0;1
LÓPEZ Vicente;3;1;2;2;1;0;0;0;0
VAN DAM Joseph;3;1;2;1;0;0;0;0;0
GRAF Rolf;3;1;2;1;0;0;0;0;0
POBLET Miguel;3;1;2;0;0;0;0;0;0
